task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_kr-vs-kp,OurMethod-LC-DQN-MLP,Random Search,-0.9052337646484375,0.8753473961381025,3,0,2,5
lcbench_mfeat-factors,Bayesian Optimization,HyperRL-MLP,-0.18058471679687785,1.0393551101207266,3,2,0,5
lcbench_mfeat-factors,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.13544158935546874,0.9656544003614601,2,3,0,5
lcbench_mfeat-factors,Bayesian Optimization,Random Search,-0.0451446533203125,1.075496441400706,2,3,0,5
lcbench_mfeat-factors,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.3160263061523466,0.8076080414578239,1,2,2,5
lcbench_mfeat-factors,HyperRL-MLP,Random Search,0.13544006347656534,0.3028531888104866,0,1,4,5
lcbench_mfeat-factors,OurMethod-LC-DQN-MLP,Random Search,-0.18058624267578124,0.7383933287051964,2,1,2,5
lcbench_nomao,Bayesian Optimization,HyperRL-MLP,-0.11022186279297444,1.0267444872793086,2,3,0,5
lcbench_nomao,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.4120193481445426,1.0754368529034022,3,2,0,5
lcbench_nomao,Bayesian Optimization,Random Search,-0.27293090820313354,0.931979142975476,3,2,0,5
lcbench_nomao,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.3017974853515682,0.39572083465143354,3,0,2,5
lcbench_nomao,HyperRL-MLP,Random Search,-0.1627090454101591,0.5766496575507718,1,2,2,5
lcbench_nomao,OurMethod-LC-DQN-MLP,Random Search,0.1390884399414091,0.31294429577101324,1,2,2,5
lcbench_numerai28.6,Bayesian Optimization,HyperRL-MLP,-0.10142288208007813,0.1333320248759296,3,2,0,5
lcbench_numerai28.6,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.12583923339843892,0.17463272286939027,3,2,0,5
lcbench_numerai28.6,Bayesian Optimization,Random Search,-0.05728530883789205,0.06475750248980494,3,0,2,5
lcbench_numerai28.6,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.024416351318360795,0.08991618889358602,1,3,1,5
lcbench_numerai28.6,HyperRL-MLP,Random Search,0.044137573242186076,0.1624414242183926,2,3,0,5
lcbench_numerai28.6,OurMethod-LC-DQN-MLP,Random Search,0.06855392456054688,0.17013071731299617,2,3,0,5
lcbench_phoneme,Bayesian Optimization,HyperRL-MLP,1.0041824340820313,2.410854787120028,1,4,0,5
lcbench_phoneme,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.7698745727539062,2.001731365041578,1,4,0,5
lcbench_phoneme,Bayesian Optimization,Random Search,0.535565185546875,1.6361926174826582,1,4,0,5
lcbench_phoneme,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.234307861328125,0.9855300317581878,1,2,2,5
lcbench_phoneme,HyperRL-MLP,Random Search,-0.46861724853515624,0.8546202983800737,2,1,2,5
lcbench_phoneme,OurMethod-LC-DQN-MLP,Random Search,-0.23430938720703126,0.963977068190827,1,2,2,5
lcbench_segment,Bayesian Optimization,HyperRL-MLP,0.9001937866210937,4.007202985006496,2,3,0,5
lcbench_segment,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.6046951293945313,2.827093397961134,3,2,0,5
lcbench_segment,Bayesian Optimization,Random Search,2.1917800903320312,3.249355116888945,1,4,0,5
lcbench_segment,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.7045013427734375,2.041238314787987,1,2,2,5
lcbench_segment,HyperRL-MLP,Random Search,1.2915863037109374,1.9841576068534972,0,3,2,5
lcbench_segment,OurMethod-LC-DQN-MLP,Random Search,0.5870849609375,2.2905478266440253,1,2,2,5
lcbench_shuttle,Bayesian Optimization,HyperRL-MLP,0.386773681640625,1.8595429879336953,3,2,0,5
lcbench_shuttle,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.45383605957030965,1.908939792860019,2,3,0,5
lcbench_shuttle,Bayesian Optimization,Random Search,0.32439117431641196,1.830748394466449,3,2,0,5
lcbench_shuttle,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.06706237792968466,0.35446303499134024,2,1,2,5
lcbench_shuttle,HyperRL-MLP,Random Search,-0.06238250732421306,0.3586594963806183,1,2,2,5
lcbench_shuttle,OurMethod-LC-DQN-MLP,Random Search,-0.12944488525389772,0.7012350957761536,1,2,2,5
lcbench_sylvine,Bayesian Optimization,HyperRL-MLP,-0.529100036621091,1.5860766216669628,4,1,0,5
lcbench_sylvine,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.12345733642577557,1.125160391306437,4,1,0,5
lcbench_sylvine,Bayesian Optimization,Random Search,-0.7583770751953125,0.5050394058472019,5,0,0,5
lcbench_sylvine,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.40564270019531534,1.066618858859833,2,2,1,5
lcbench_sylvine,HyperRL-MLP,Random Search,-0.2292770385742216,1.3584235775124094,3,2,0,5
lcbench_sylvine,OurMethod-LC-DQN-MLP,Random Search,-0.6349197387695369,0.7748097743746265,4,0,1,5
lcbench_vehicle,Bayesian Optimization,HyperRL-MLP,-0.9574478149414063,6.529783517562423,2,3,0,5
lcbench_vehicle,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.1702117919921875,4.424815720110645,2,3,0,5
lcbench_vehicle,Bayesian Optimization,Random Search,-1.382977294921875,5.954120859085345,1,3,1,5
lcbench_vehicle,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.21276397705078126,4.164590544617854,2,1,2,5
lcbench_vehicle,HyperRL-MLP,Random Search,-0.42552947998046875,4.7783583885884005,2,1,2,5
lcbench_vehicle,OurMethod-LC-DQN-MLP,Random Search,-0.2127655029296875,6.024976093311997,1,1,3,5
lcbench_volkert,Bayesian Optimization,HyperRL-MLP,0.9307380676269574,6.876201273200525,3,2,0,5
lcbench_volkert,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.3242073059082074,7.01734451246234,3,2,0,5
lcbench_volkert,Bayesian Optimization,Random Search,1.4007606506347698,6.357951217753646,2,3,0,5
lcbench_volkert,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.60653076171875,2.0337842568231146,1,1,3,5
lcbench_volkert,HyperRL-MLP,Random Search,0.4700225830078125,2.0712939658642564,1,2,2,5
lcbench_volkert,OurMethod-LC-DQN-MLP,Random Search,1.0765533447265625,1.0015557247763625,0,3,2,5
