task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e8,CrossDataset-HyperRL,5,740.9954524761824,25.456829465172728,696.6542790658098,28.124401889933637,37.71043073132489,23.17853854923156,0.05069885560496858,0.030389556948019782,7.0
playground-series-s3e8,CrossDataset-LC-DQN,5,741.8713316638823,17.465315880365857,728.2181132237062,8.370399293371173,38.58630991902476,16.60088525799972,0.0517444524453216,0.02084954107453425,4.8
playground-series-s3e8,Random Search,5,721.8391852097881,33.291992457206156,694.6135074982365,14.448661829039038,18.554163464930546,35.84177075414527,0.027830710308241302,0.039742926434552635,6.6
playground-series-s3e9,Bayesian Optimization,5,11.946098865972996,0.021362017982824576,12.525546950489819,0.08244600723753531,0.023529139168942947,0.027500915500058384,0.018817172074047404,0.010222167917470925,10.6
playground-series-s3e9,CrossDataset-HyperRL,5,11.96394673509257,0.025702361909522218,12.53017225452925,0.12042958137226359,0.041377008288516495,0.03643990216684,0.027357746998008834,0.012299112355676661,11.4
playground-series-s3e9,CrossDataset-LC-DQN,5,11.938017208730216,0.028670412279590458,12.503190102577907,0.048211340643792976,0.015447481926162965,0.02196763815926378,0.01494993174808365,0.013719385912919383,14.0
playground-series-s3e9,Random Search,5,11.956047032543724,0.041986417151652126,12.504829463281462,0.04308822658064507,0.03347730573967063,0.028727527352688055,0.023577575760567616,0.02009136995962868,7.0
playground-series-s4e12,Bayesian Optimization,5,869.7946039933844,1.3518008665236698,864.6394096536699,1.0670747091126283,1.1729062635597756,1.3964688463854413,0.009284637122930806,0.00999043690573163,10.8
playground-series-s4e12,CrossDataset-HyperRL,5,868.7416231276859,0.2035572036482311,863.8519572668704,0.07586105888447535,0.1199253978613342,0.15026186729687963,0.0015026189557463053,0.0015043823762182864,9.6
playground-series-s4e12,CrossDataset-LC-DQN,5,868.9822161125651,0.6814600304930609,864.0495960543205,0.47588920486728775,0.36051838274045167,0.6081336473921919,0.0032807129745626336,0.005036306461266549,12.0
playground-series-s4e12,Random Search,5,869.427405908236,0.7027729029829516,864.3179798998352,0.5322198085425864,0.8057081784113507,0.7003649160219952,0.0065708725497398215,0.00519381849810798,12.8
playground-series-s4e4,Bayesian Optimization,5,1.918788363181706,0.0035538800356708293,1.8891085942369439,0.007232735431251135,0.0030633819338235836,0.0029035951636932344,0.016292955209900654,0.009398163609830177,6.8
playground-series-s4e4,CrossDataset-HyperRL,5,1.926657264720131,0.012205290054639073,1.901260043444638,0.0064289969206483746,0.010932283472248639,0.014106573198956427,0.037102105587933504,0.03227664177957515,9.0
playground-series-s4e4,CrossDataset-LC-DQN,5,1.918147769115725,0.00444270428370851,1.8929531467347351,0.00899194907482895,0.0024227878678425795,0.0033175602292704245,0.014598917206606204,0.011748641290449365,10.0
playground-series-s4e4,Random Search,5,1.9314282007580477,0.013759889059332172,1.9054652151339393,0.015703689504441724,0.01570321951016527,0.013897940694389503,0.0497187490892136,0.036387747288804034,11.2
playground-series-s4e5,Bayesian Optimization,5,0.020599434874703854,9.038404288391332e-05,0.020488799495501607,8.925634520180211e-05,4.432654986690487e-05,9.911717871043356e-05,0.011329958540924489,0.011212980228843742,8.8
playground-series-s4e5,CrossDataset-HyperRL,5,0.020724202197297904,0.00019866643763058898,0.02060920163335122,0.00022079570790913892,0.00016909387246095628,0.00015292644660095948,0.026808504054204086,0.024646417290137522,2.8
playground-series-s4e5,CrossDataset-LC-DQN,5,0.020710104019446635,0.00011611481045279347,0.020590768690161392,0.00012361734927996822,0.0001549956946096845,9.100435547296808e-05,0.025059494113233976,0.014405120996361652,10.4
playground-series-s4e5,Random Search,5,0.020638786634932394,0.00015844745875640416,0.02054073272200401,0.00015451528424724858,8.367831009544399e-05,0.0001045310427386665,0.016211909993124277,0.019656879308087554,7.0
playground-series-s4e9,Bayesian Optimization,5,67431.10941188321,131.0614923392745,79660.7228260273,110.16152647989813,66.03372012424806,131.4995139911321,0.004526366329000518,0.007857143340098894,12.6
playground-series-s4e9,CrossDataset-HyperRL,5,67878.71724804437,786.8384270044417,80136.62169657442,815.8889820358379,513.641556285409,786.6089789205477,0.03136047958452192,0.04717100496969712,10.6
playground-series-s4e9,CrossDataset-LC-DQN,5,67466.21259120705,149.79790693861605,79699.75330513732,124.75244540308601,101.13689944808429,142.46398693340086,0.006630803770675569,0.008980392378080685,13.2
playground-series-s4e9,Random Search,5,67582.70055164317,248.732247305451,79803.6885701822,189.63480198710536,217.62485988420957,237.42945794653446,0.013614263108778446,0.014911511272317575,8.6
playground-series-s5e2,Bayesian Optimization,5,39.117489959198046,0.021916385573984613,39.0460466552651,0.02085768638352936,0.023856624716896136,0.021779235469066932,0.004095297778344754,0.00366194642123105,14.6
playground-series-s5e2,CrossDataset-HyperRL,5,39.10367053888045,0.009298842255735337,39.03391499296124,0.01012938208865869,0.010037204399303334,0.010102576960851399,0.0017862502118715943,0.0015537170581814653,11.4
playground-series-s5e2,CrossDataset-LC-DQN,5,39.100829223624906,0.006766019798883163,39.03052830897338,0.007542862842933305,0.007195889143756062,0.007031851992596671,0.0013115029413184036,0.0011305149704023006,10.6
playground-series-s5e2,Random Search,5,39.12342479948125,0.04355872048670693,39.05449800928921,0.046227868010529805,0.02979146500009904,0.04386607267314087,0.005086933331674794,0.007278102498298931,9.6
playground-series-s5e4,Bayesian Optimization,5,13.630452213880288,0.03339444852742974,13.544404942196314,0.03441731795279694,0.009185317403997927,0.020538994110251264,0.00838743990795928,0.007892191702548077,16.4
playground-series-s5e4,CrossDataset-HyperRL,5,13.729564788207677,0.0983007713531931,13.627659601703757,0.09738630251410058,0.10829789173138629,0.11287558384364166,0.031810957025850684,0.023231661735348248,13.8
playground-series-s5e4,CrossDataset-LC-DQN,5,13.79495180990943,0.17928817405963393,13.699025314696371,0.17761707802986862,0.17368491343314005,0.15389785795475194,0.047264031799792175,0.0423716127103041,10.2
playground-series-s5e4,Random Search,5,13.729127638673988,0.1002895795532268,13.634102299235408,0.09759686544562549,0.1078607421976983,0.09659802589613437,0.0317076444072964,0.023701681641841783,9.2
playground-series-s5e5,Bayesian Optimization,5,4.161421944160004,0.12927124041219867,4.281241548176515,0.12882480381674438,0.08106779098737782,0.14164838669147362,0.01597193337573894,0.011290936038439467,11.0
playground-series-s5e5,CrossDataset-HyperRL,5,4.1787796597093,0.14553818611040856,4.303010277959593,0.13764758725318973,0.0984255065366737,0.13954413815610067,0.017488008068111367,0.012711739635849088,8.0
playground-series-s5e5,CrossDataset-LC-DQN,5,4.1787796597093,0.14553818611040856,4.303010277959593,0.13764758725318973,0.0984255065366737,0.13954413815610067,0.017488008068111367,0.012711739635849088,1.6
playground-series-s5e5,Random Search,5,4.276123091349764,0.23803880995811041,4.387001799442536,0.21389158992639534,0.19576893817713756,0.2635003777323609,0.02599027397745098,0.02079102025580664,4.2
